,Unnamed: 0,year,month,location,fatalities,cat,Latitude,Longitude
85,4729,1993,JAN,Hibbing-Chisholm...,0.0,1,47.3850087,-92.8387488
86,3045,1993,JAN,Delhi-Indira Gan...,0.0,1,28.5551678,77.0847385
87,3155,1996,JAN,Detroit-Metropol...,0.0,1,,
88,2406,1979,JAN,Cherbourg-Mauper...,0.0,1,,
89,5157,1979,JAN,"ItacajÃ¡, TO",0.0,1,-8.392935,-47.772615
90,11717,2015,JAN,Tacloban Airport...,0.0,1,11.2273528,125.026503
91,5036,1979,JAN,"Inigok Airport, AK",0.0,1,70.0023759,-153.0854702
92,10373,1973,JAN,Sachs Harbour Ai...,0.0,1,47.30919,9.40295
93,4524,2015,JAN,Hamburg-FuhlsbÃ¼...,0.0,1,,
94,12831,2002,JAN,Waterville-Rober...,0.0,1,,
95,12259,1979,JAN,Tripoli,0.0,1,32.896672,13.1777923
96,14342,1993,JAN,"near Bronson Creek, BC",2.0,1,56.68294,-131.08738
97,9437,2005,JAN,"Perth Airport, W...",0.0,1,56.4397231,-3.3679048
98,16130,2005,JAN,near Iasi Airport (IAS),2.0,1,,
99,4562,1996,JAN,Harare Airport (...,0.0,1,-17.9176704,31.0987871
100,12273,2015,JAN,Tripoli-Mitiga I...,0.0,1,18.16667,-7.08333
101,13046,2003,JAN,Yacuiba Airport ...,0.0,1,-21.9614105,-63.6518803
102,4173,2005,JAN,Goa-Dabolim Airp...,0.0,1,,
103,18632,1973,JAN,"near Petukhovo, Bolsh...",39.0,1,,
104,14429,1979,JAN,near BÃ©char-Leger Ai...,14.0,1,,
105,877,2005,JAN,Banda Aceh-Blang...,0.0,1,5.5560621,95.2999986
106,5855,1993,JAN,Kinshasa-N'Dolo ...,9.0,1,-4.3142845,15.3287827
107,7740,1979,JAN,Milano-Malpensa ...,0.0,1,45.6296273,8.7235475
108,7119,2015,JAN,Magadan-Sokol Ai...,0.0,1,47.30919,9.40295
109,10859,2003,JAN,Santo Domingo-He...,0.0,1,18.4801972,-69.942111
110,10305,2005,JAN,Rothera Station,0.0,1,-67.5691808,-68.1221663
111,866,1993,JAN,Bambu Airport (BCP),0.0,1,,
112,2291,1996,JAN,Chachapoyas Airp...,0.0,1,,
113,10278,1973,JAN,Rondonopolis Air...,0.0,1,,
114,36,1993,JAN,Abidjan-Felix Ho...,0.0,1,6.60084,0.4713
115,14024,1979,JAN,near Belgorod Airport...,3.0,1,,
116,4112,2019,JAN,Georgetown-Ogle ...,0.0,1,42.04264,-89.32065
117,7745,1996,JAN,Miles City Munic...,0.0,1,48.13743,11.57549
118,20267,1980,JAN,near Tehran-Mehrabad ...,128.0,1,,
119,6679,2005,JAN,Logan-Cache Airp...,0.0,1,,
120,4710,2005,JAN,Helsinki-Vantaa ...,0.0,1,60.3218155,24.9473611
121,11039,1997,JAN,Sept-Ãles Airpo...,0.0,1,,
122,9926,1993,JAN,"Quebec Airport, ...",0.0,2,45.4687293,-73.742497
123,740,2014,JAN,Aweil Airport,0.0,1,8.7934893,27.3643919
124,11455,2014,JAN,Stephenville Int...,0.0,1,66.03169,60.16594
125,16616,2006,JAN,near Kharkov Airport ...,3.0,1,49.92479,36.28999
126,8608,1979,JAN,New York-John F....,0.0,1,40.6429479,-73.7793734
127,19755,1997,JAN,near Shushenskoye,0.0,1,53.325,91.93556
128,16220,1979,JAN,near Isfahan,5.0,1,33.7460691,51.7027466
129,11354,1979,JAN,"Southbay, FL",0.0,1,28.010071,-82.585203
130,19598,2014,JAN,"near Savannah, GA",0.0,1,32.074679,-81.088261
131,17734,1979,JAN,near Minsk-1 Internat...,13.0,1,,
132,9636,1973,JAN,Pontianak-Supadi...,0.0,1,,
133,10916,2019,JAN,Savonlinna Airpo...,0.0,1,,
134,15736,1973,JAN,near Glasgow,4.0,1,55.861147,-4.2499891
135,19173,1979,JAN,near Rodez Airport (RDZ),5.0,1,,
136,18377,2006,JAN,near Orumiyeh,11.0,1,37.55274,45.07605
